Day,Month,Year,Date,Reason Group 1,Reason Group 2,Reason Group 3,Reason Group 4,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Education,Children,Pets,Absenteeism Time in Hours
7,7,2015,2015-07-07,0,0,0,1,289,36,33,239.554,30,0,2,1,4
14,7,2015,2015-07-14,0,0,0,0,118,13,50,239.554,31,0,1,0,0
15,7,2015,2015-07-15,0,0,0,1,179,51,38,239.554,31,0,0,0,2
16,7,2015,2015-07-16,1,0,0,0,279,5,39,239.554,24,0,2,0,4
23,7,2015,2015-07-23,0,0,0,1,289,36,33,239.554,30,0,2,1,2
10,7,2015,2015-07-10,0,0,0,1,179,51,38,239.554,31,0,0,0,2
17,7,2015,2015-07-17,0,0,0,1,361,52,28,239.554,27,0,1,4,8
24,7,2015,2015-07-24,0,0,0,1,260,50,36,239.554,23,0,4,0,4
6,7,2015,2015-07-06,0,0,1,0,155,12,34,239.554,25,0,2,0,40
13,7,2015,2015-07-13,0,0,0,1,235,11,37,239.554,29,1,1,1,8
20,7,2015,2015-07-20,1,0,0,0,260,50,36,239.554,23,0,4,0,8
14,7,2015,2015-07-14,1,0,0,0,260,50,36,239.554,23,0,4,0,8
15,7,2015,2015-07-15,1,0,0,0,260,50,36,239.554,23,0,4,0,8
15,7,2015,2015-07-15,1,0,0,0,179,51,38,239.554,31,0,0,0,1
15,7,2015,2015-07-15,0,0,0,1,179,51,38,239.554,31,0,0,0,4
17,7,2015,2015-07-17,1,0,0,0,246,25,41,239.554,23,0,0,0,8
17,7,2015,2015-07-17,0,0,0,1,179,51,38,239.554,31,0,0,0,2
27,7,2015,2015-07-27,0,0,1,0,179,51,38,239.554,31,0,0,0,8
30,7,2015,2015-07-30,1,0,0,0,189,29,33,239.554,25,0,2,2,8
5,8,2015,2015-08-05,0,0,0,1,248,25,47,205.917,32,0,2,1,2
12,8,2015,2015-08-12,1,0,0,0,330,16,28,205.917,25,1,0,0,8
3,8,2015,2015-08-03,1,0,0,0,179,51,38,205.917,31,0,0,0,1
10,8,2015,2015-08-10,1,0,0,0,361,52,28,205.917,27,0,1,4,40
14,8,2015,2015-08-14,0,0,0,1,260,50,36,205.917,23,0,4,0,4
17,8,2015,2015-08-17,0,0,1,0,289,36,33,205.917,30,0,2,1,8
24,8,2015,2015-08-24,0,0,0,1,361,52,28,205.917,27,0,1,4,7
4,8,2015,2015-08-04,0,0,0,1,289,36,33,205.917,30,0,2,1,1
12,8,2015,2015-08-12,0,0,0,1,157,27,29,205.917,22,0,0,0,4
19,8,2015,2015-08-19,0,0,1,0,289,36,33,205.917,30,0,2,1,8
28,8,2015,2015-08-28,0,0,0,1,179,51,38,205.917,31,0,0,0,2
17,8,2015,2015-08-17,0,0,1,0,179,51,38,205.917,31,0,0,0,8
27,8,2015,2015-08-27,0,0,1,0,235,29,48,205.917,33,0,1,5,8
27,8,2015,2015-08-27,0,0,0,1,235,11,37,205.917,29,1,1,1,4
17,8,2015,2015-08-17,0,0,1,0,235,29,48,205.917,33,0,1,5,8
17,8,2015,2015-08-17,0,0,0,1,179,51,38,205.917,31,0,0,0,2
17,8,2015,2015-08-17,0,0,0,1,361,52,28,205.917,27,0,1,4,1
4,8,2015,2015-08-04,0,0,0,1,289,36,33,205.917,30,0,2,1,8
20,8,2015,2015-08-20,1,0,0,0,291,50,32,205.917,23,0,0,0,4
21,8,2015,2015-08-21,0,0,0,1,235,29,48,205.917,33,0,1,5,8
28,8,2015,2015-08-28,0,0,0,1,260,50,36,205.917,23,0,4,0,4
1,9,2015,2015-09-01,0,0,0,1,184,42,27,241.476,21,0,0,0,2
7,9,2015,2015-09-07,0,0,0,1,118,10,37,241.476,28,0,0,0,4
1,9,2015,2015-09-01,0,0,0,1,179,51,38,241.476,31,0,0,0,4
8,9,2015,2015-09-08,0,0,1,0,235,20,43,241.476,38,0,1,0,8
9,9,2015,2015-09-09,0,0,0,1,155,12,34,241.476,25,0,2,0,2
13,9,2015,2015-09-13,0,0,0,1,118,10,37,241.476,28,0,0,0,3
14,9,2015,2015-09-14,0,0,0,1,179,51,38,241.476,31,0,0,0,3
24,9,2015,2015-09-24,0,0,0,1,291,31,40,241.476,25,0,1,1,4
4,9,2015,2015-09-04,0,0,0,1,260,50,36,241.476,23,0,4,0,8
14,9,2015,2015-09-14,1,0,0,0,291,31,40,241.476,25,0,1,1,32
21,9,2015,2015-09-21,0,0,0,0,260,50,36,241.476,23,0,4,0,0
28,9,2015,2015-09-28,0,0,0,0,225,26,28,241.476,24,0,1,2,0
8,9,2015,2015-09-08,0,0,0,1,225,26,28,241.476,24,0,1,2,2
15,9,2015,2015-09-15,0,0,0,1,118,10,37,241.476,28,0,0,0,2
22,9,2015,2015-09-22,0,0,0,0,289,36,33,241.476,30,0,2,1,0
29,9,2015,2015-09-29,0,0,0,0,118,13,50,241.476,31,0,1,0,0
16,9,2015,2015-09-16,0,0,1,0,225,26,28,241.476,24,0,1,2,3
23,9,2015,2015-09-23,0,0,0,1,179,51,38,241.476,31,0,0,0,3
30,9,2015,2015-09-30,0,0,0,0,369,17,31,241.476,25,0,3,0,0
11,9,2015,2015-09-11,0,0,0,1,248,25,47,241.476,32,0,2,1,1
18,9,2015,2015-09-18,0,0,0,1,179,51,38,241.476,31,0,0,0,3
25,9,2015,2015-09-25,0,0,0,1,260,50,36,241.476,23,0,4,0,4
6,10,2015,2015-10-06,0,0,0,1,179,51,38,253.465,31,0,0,0,3
13,10,2015,2015-10-13,0,0,0,1,118,10,37,253.465,28,0,0,0,3
14,10,2015,2015-10-14,0,0,0,0,118,13,50,253.465,31,0,1,0,0
15,10,2015,2015-10-15,0,0,0,1,179,26,30,253.465,19,1,0,0,1
16,10,2015,2015-10-16,0,0,0,1,179,51,38,253.465,31,0,0,0,3
16,10,2015,2015-10-16,0,0,0,1,225,26,28,253.465,24,0,1,2,3
6,10,2015,2015-10-06,0,0,0,1,118,10,37,253.465,28,0,0,0,3
14,10,2015,2015-10-14,0,0,0,1,225,26,28,253.465,24,0,1,2,2
21,10,2015,2015-10-21,0,0,0,1,248,25,47,253.465,32,0,2,1,2
22,10,2015,2015-10-22,0,0,0,1,291,31,40,253.465,25,0,1,1,5
21,10,2015,2015-10-21,0,0,0,1,179,51,38,253.465,31,0,0,0,8
21,10,2015,2015-10-21,0,0,0,1,225,26,28,253.465,24,0,1,2,3
22,10,2015,2015-10-22,0,0,1,0,260,50,36,253.465,23,0,4,0,16
13,10,2015,2015-10-13,1,0,0,0,291,31,40,253.465,25,0,1,1,8
20,10,2015,2015-10-20,0,0,0,1,225,26,28,253.465,24,0,1,2,2
21,10,2015,2015-10-21,0,0,0,1,289,36,33,253.465,30,0,2,1,8
23,10,2015,2015-10-23,0,0,0,1,361,52,28,253.465,27,0,1,4,1
30,10,2015,2015-10-30,0,0,0,1,260,50,36,253.465,23,0,4,0,3
5,11,2015,2015-11-05,0,0,0,1,179,51,38,306.345,31,0,0,0,1
4,11,2015,2015-11-04,0,0,0,1,225,26,28,306.345,24,0,1,2,1
5,11,2015,2015-11-05,1,0,0,0,179,51,38,306.345,31,0,0,0,8
12,11,2015,2015-11-12,0,0,1,0,179,22,40,306.345,22,1,2,0,8
19,11,2015,2015-11-19,0,0,0,1,291,31,40,306.345,25,0,1,1,5
2,11,2015,2015-11-02,1,0,0,0,155,12,34,306.345,25,0,2,0,32
9,11,2015,2015-11-09,0,0,0,1,189,29,33,306.345,25,0,2,2,8
